"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"1","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":168 EQUALS -> AND |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"2","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":76 GREATER -> LESS_EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","514223534","4691000","false","N/A","N/A","N/A","N/A","false","1"
"3","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":189 EQUALS -> LESS_EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","516133695","390000","false","N/A","N/A","N/A","N/A","false","1"
"4","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"5","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":154 LESS_EQUALS -> LESS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","518332154","255000","false","N/A","N/A","N/A","N/A","false","1"
"6","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"7","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","510305761","271000","false","N/A","N/A","N/A","N/A","false","1"
"8","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":183 OR -> BINARY_AND |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","509288392","261000","false","N/A","N/A","N/A","N/A","false","1"
"9","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"10","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"11","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","509954137","400000","false","N/A","N/A","N/A","N/A","true",""
"12","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":173 EQUALS -> XOR |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"13","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","522076577","367000","false","N/A","N/A","N/A","N/A","true",""
"14","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","509668189","443000","false","N/A","N/A","N/A","N/A","false","1"
"15","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","511063638","600000","false","N/A","N/A","N/A","N/A","true",""
"16","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":183 OR -> AND |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","507280358","452000","false","N/A","N/A","N/A","N/A","false","1"
"17","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":155 PLUS -> LEFT_SHIFT |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","512125202","433000","false","N/A","N/A","N/A","N/A","false","1"
"18","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":189 EQUALS -> OR |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"19","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":189 EQUALS -> OR |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"20","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","507559740","425000","false","N/A","N/A","N/A","N/A","false","1"
"21","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","515514253","432000","false","N/A","N/A","N/A","N/A","true",""
"22","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","512771382","383000","false","N/A","N/A","N/A","N/A","true",""
"23","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":183 OR -> NOT_EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"24","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> LinkedList |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","511820973","387000","false","N/A","N/A","N/A","N/A","false","1"
"25","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> LinkedList |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","516163285","615000","false","N/A","N/A","N/A","N/A","false","1"
"26","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> LinkedList |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","515914221","357000","false","N/A","N/A","N/A","N/A","false","1"
"27","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":184 EQUALS -> AND |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"28","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","510547908","420000","false","N/A","N/A","N/A","N/A","true",""
"29","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":184 EQUALS -> AND |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"30","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","508431973","410000","false","N/A","N/A","N/A","N/A","true",""
"31","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"32","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","509483585","345000","false","N/A","N/A","N/A","N/A","true",""
"33","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":76 GREATER -> EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","520769663","373000","false","N/A","N/A","N/A","N/A","false","1"
"34","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","513122967","329000","false","N/A","N/A","N/A","N/A","false","1"
"35","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","512082798","384000","false","N/A","N/A","N/A","N/A","false","1"
"36","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> LinkedList |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","510014241","385000","false","N/A","N/A","N/A","N/A","false","1"
"37","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","515234063","454000","false","N/A","N/A","N/A","N/A","false","1"
"38","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","513679621","344000","false","N/A","N/A","N/A","N/A","false","1"
"39","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"40","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":154 LESS_EQUALS -> GREATER |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","false","107730655","1895000","false","java.lang.AssertionError","expected:<0> but was:<1>","0","1","false","1"
"41","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","510101127","466000","false","N/A","N/A","N/A","N/A","true",""
"42","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":167 AND -> EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"43","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","510452986","384000","false","N/A","N/A","N/A","N/A","true",""
"44","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> LinkedList |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","513654890","504000","false","N/A","N/A","N/A","N/A","false","1"
"45","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> LinkedList |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","516047817","455000","false","N/A","N/A","N/A","N/A","false","1"
"46","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","513407326","437000","false","N/A","N/A","N/A","N/A","true",""
"47","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","520436165","440000","false","N/A","N/A","N/A","N/A","true",""
"48","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","517876744","374000","false","N/A","N/A","N/A","N/A","false","1"
"49","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":168 EQUALS -> OR |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"50","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","510546467","371000","false","N/A","N/A","N/A","N/A","true",""
"51","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","521746042","455000","false","N/A","N/A","N/A","N/A","true",""
"52","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"53","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","514206667","446000","false","N/A","N/A","N/A","N/A","false","1"
"54","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","509939695","357000","false","N/A","N/A","N/A","N/A","false","1"
"55","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","516536339","495000","false","N/A","N/A","N/A","N/A","true",""
"56","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":154 LESS_EQUALS -> LESS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","510986510","394000","false","N/A","N/A","N/A","N/A","false","1"
"57","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","508621876","370000","false","N/A","N/A","N/A","N/A","true",""
"58","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":189 EQUALS -> LESS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","515311954","604000","false","N/A","N/A","N/A","N/A","false","1"
"59","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"60","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","510483961","466000","false","N/A","N/A","N/A","N/A","true",""
"61","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":167 AND -> EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"62","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":189 EQUALS -> LESS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","514208424","351000","false","N/A","N/A","N/A","N/A","false","1"
"63","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":167 AND -> OR |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","520211000","246000","false","N/A","N/A","N/A","N/A","false","1"
"64","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","512183260","264000","false","N/A","N/A","N/A","N/A","true",""
"65","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","512244339","276000","false","N/A","N/A","N/A","N/A","true",""
"66","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","517554681","301000","false","N/A","N/A","N/A","N/A","true",""
"67","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":128 GREATER -> LESS_EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","false","102639889","394000","false","java.lang.AssertionError","expected:<0> but was:<1>","0","1","false","1"
"68","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","505773197","326000","false","N/A","N/A","N/A","N/A","true",""
"69","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","507052276","298000","false","N/A","N/A","N/A","N/A","true",""
"70","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","509980309","281000","false","N/A","N/A","N/A","N/A","true",""
"71","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","525708248","319000","false","N/A","N/A","N/A","N/A","false","1"
"72","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":183 OR -> AND |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","509424866","315000","false","N/A","N/A","N/A","N/A","false","1"
"73","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"74","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","515458969","556000","false","N/A","N/A","N/A","N/A","false","1"
"75","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","510997039","576000","false","N/A","N/A","N/A","N/A","true",""
"76","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","513185244","259000","false","N/A","N/A","N/A","N/A","true",""
"77","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":167 AND -> EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"78","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","518309915","269000","false","N/A","N/A","N/A","N/A","false","1"
"79","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> LinkedList |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","508364720","373000","false","N/A","N/A","N/A","N/A","false","1"
"80","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","507531143","288000","false","N/A","N/A","N/A","N/A","false","1"
"81","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","508775954","269000","false","N/A","N/A","N/A","N/A","false","1"
"82","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","506490598","264000","false","N/A","N/A","N/A","N/A","true",""
"83","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"84","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":189 EQUALS -> LESS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","506565157","298000","false","N/A","N/A","N/A","N/A","false","1"
"85","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":173 EQUALS -> LESS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","509355924","371000","false","N/A","N/A","N/A","N/A","false","1"
"86","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> LinkedList |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","515514732","243000","false","N/A","N/A","N/A","N/A","false","1"
"87","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> LinkedList |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","510654825","263000","false","N/A","N/A","N/A","N/A","false","1"
"88","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":154 LESS_EQUALS -> GREATER_EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","false","101547881","408000","false","java.lang.AssertionError","expected:<0> but was:<1>","0","1","false","1"
"89","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","512367876","246000","false","N/A","N/A","N/A","N/A","true",""
"90","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":189 EQUALS -> AND |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"91","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","508765351","584000","false","N/A","N/A","N/A","N/A","true",""
"92","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":102 GREATER -> LESS_EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","false","102345829","362000","false","java.lang.AssertionError","expected:<0> but was:<1>","0","1","false","1"
"93","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","507296691","253000","false","N/A","N/A","N/A","N/A","true",""
"94","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":168 EQUALS -> OR |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"95","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":128 GREATER -> GREATER_EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","511983690","236000","false","N/A","N/A","N/A","N/A","false","1"
"96","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","505784405","238000","false","N/A","N/A","N/A","N/A","true",""
"97","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","512032206","254000","false","N/A","N/A","N/A","N/A","false","1"
"98","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","512061530","262000","false","N/A","N/A","N/A","N/A","false","1"
"99","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","516465453","344000","false","N/A","N/A","N/A","N/A","false","1"
"100","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":167 AND -> NOT_EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
